"Year","Total","gas_flaring"
"1751","3","0"
"1752","3","0"
"1753","3","0"
"1754","3","0"
"1755","3","0"
"1756","3","0"
"1757","3","0"
"1758","3","0"
"1759","3","0"
"1760","3","0"
"1761","3","0"
"1762","3","0"
"1763","3","0"
"1764","3","0"
"1765","3","0"
"1766","3","0"
"1767","3","0"
"1768","3","0"
"1769","3","0"
"1770","3","0"
"1771","4","0"
"1772","4","0"
"1773","4","0"
"1774","4","0"
"1775","4","0"
"1776","4","0"
"1777","4","0"
"1778","4","0"
"1779","4","0"
"1780","4","0"
"1781","5","0"
"1782","5","0"
"1783","5","0"
"1784","5","0"
"1785","5","0"
"1786","5","0"
"1787","5","0"
"1788","5","0"
"1789","5","0"
"1790","5","0"
"1791","6","0"
"1792","6","0"
"1793","6","0"
"1794","6","0"
"1795","6","0"
"1796","6","0"
"1797","7","0"
"1798","7","0"
"1799","7","0"
"1800","8","0"
"1801","8","0"
"1802","10","0"
"1803","9","0"
"1804","9","0"
"1805","9","0"
"1806","10","0"
"1807","10","0"
"1808","10","0"
"1809","10","0"
"1810","10","0"
"1811","11","0"
"1812","11","0"
"1813","11","0"
"1814","11","0"
"1815","12","0"
"1816","13","0"
"1817","14","0"
"1818","14","0"
"1819","14","0"
"1820","14","0"
"1821","14","0"
"1822","15","0"
"1823","16","0"
"1824","16","0"
"1825","17","0"
"1826","17","0"
"1827","18","0"
"1828","18","0"
"1829","18","0"
"1830","24","0"
"1831","23","0"
"1832","23","0"
"1833","24","0"
"1834","24","0"
"1835","25","0"
"1836","29","0"
"1837","29","0"
"1838","30","0"
"1839","31","0"
"1840","33","0"
"1841","34","0"
"1842","36","0"
"1843","37","0"
"1844","39","0"
"1845","43","0"
"1846","43","0"
"1847","46","0"
"1848","47","0"
"1849","50","0"
"1850","54","0"
"1851","54","0"
"1852","57","0"
"1853","59","0"
"1854","69","0"
"1855","71","0"
"1856","76","0"
"1857","77","0"
"1858","78","0"
"1859","83","0"
"1860","91","0"
"1861","95","0"
"1862","97","0"
"1863","104","0"
"1864","112","0"
"1865","119","0"
"1866","122","0"
"1867","130","0"
"1868","135","0"
"1869","142","0"
"1870","147","0"
"1871","156","0"
"1872","173","0"
"1873","184","0"
"1874","174","0"
"1875","188","0"
"1876","191","0"
"1877","194","0"
"1878","196","0"
"1879","210","0"
"1880","236","0"
"1881","243","0"
"1882","256","0"
"1883","272","0"
"1884","275","0"
"1885","277","0"
"1886","281","0"
"1887","295","0"
"1888","327","0"
"1889","327","0"
"1890","356","0"
"1891","372","0"
"1892","374","0"
"1893","370","0"
"1894","383","0"
"1895","406","0"
"1896","419","0"
"1897","440","0"
"1898","465","0"
"1899","507","0"
"1900","534","0"
"1901","552","0"
"1902","566","0"
"1903","617","0"
"1904","624","0"
"1905","663","0"
"1906","707","0"
"1907","784","0"
"1908","750","0"
"1909","785","0"
"1910","819","0"
"1911","836","0"
"1912","879","0"
"1913","943","0"
"1914","850","0"
"1915","838","0"
"1916","901","0"
"1917","955","0"
"1918","936","0"
"1919","806","0"
"1920","932","0"
"1921","803","0"
"1922","845","0"
"1923","970","0"
"1924","963","0"
"1925","975","0"
"1926","983","0"
"1927","1062","0"
"1928","1065","0"
"1929","1145","0"
"1930","1053","0"
"1931","940","0"
"1932","847","0"
"1933","893","0"
"1934","973","0"
"1935","1027","0"
"1936","1130","0"
"1937","1209","0"
"1938","1142","0"
"1939","1192","0"
"1940","1299","0"
"1941","1334","0"
"1942","1342","0"
"1943","1391","0"
"1944","1383","0"
"1945","1160","0"
"1946","1238","0"
"1947","1392","0"
"1948","1469","0"
"1949","1419","0"
"1950","1630","23"
"1951","1767","24"
"1952","1795","26"
"1953","1841","27"
"1954","1865","27"
"1955","2042","31"
"1956","2177","32"
"1957","2270","35"
"1958","2330","35"
"1959","2454","36"
"1960","2569","39"
"1961","2580","42"
"1962","2686","44"
"1963","2833","47"
"1964","2995","51"
"1965","3130","55"
"1966","3288","60"
"1967","3393","66"
"1968","3566","73"
"1969","3780","80"
"1970","4053","87"
"1971","4208","88"
"1972","4376","94"
"1973","4614","110"
"1974","4623","107"
"1975","4596","92"
"1976","4864","108"
"1977","5026","104"
"1978","5087","106"
"1979","5369","98"
"1980","5315","86"
"1981","5152","64"
"1982","5113","64"
"1983","5094","58"
"1984","5280","51"
"1985","5439","49"
"1986","5607","46"
"1987","5752","44"
"1988","5965","50"
"1989","6097","41"
"1990","6127","40"
"1991","6217","44"
"1992","6164","35"
"1993","6162","36"
"1994","6266","38"
"1995","6398","36"
"1996","6542","37"
"1997","6651","38"
"1998","6643","35"
"1999","6610","33"
"2000","6765","45"
"2001","6927","46"
"2002","6996","48"
"2003","7416","48"
"2004","7807","53"
"2005","8093","60"
"2006","8370","61"
"2007","8566","68"
"2008","8783","71"
"2009","8740","66"
"2010","9167","59"
